code_alea,alea,code_municipalite,municipalite,precision_localisation,info_compl_localisation,severite,date_signalement,date_debut,date_debut_imprecise,commentaire_date_debut,date_fin,coord_x,coord_y
"90",Feu urbain,"94068",Saguenay,Très précise,Coopérative d'habitation,Menace possible à la vie ou à la propriété,2022-06-24,2022-06-24,Non,,,-71.251873,48.414732
"10",Matières dangereuses,"94068",Saguenay,Très précise,Présence d'un réservoir de propane de 4 500 lbs,Menace possible à la vie ou à la propriété,2021-03-18,2021-03-18,Non,,2021-03-18,-70.940291,48.3128
"8",Inondation,"94068",Saguenay,Précise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-09,2021-03-09,Non,,2021-05-17,-70.777669,48.342119
"8",Inondation,"94068",Saguenay,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-27,,,,2022-07-13,-71.156775,48.417547
"101",Mouvement de terrain,"16023",L'Isle-aux-Coudres,Très précise,Décrochement de pente à 250 p N-W,Menace faible ou non-existante à la vie ou la propriété,2021-01-25,2020-12-26,Non,,2021-03-26,-70.405533,47.410873
"25",Panne d'électricité,"80130",Lac-des-Plages,Imprécise,,Gravité inconnue,2022-05-22,2022-05-21,Non,,,-74.889412,45.99889
"138",Orage violent,"42098",Richmond,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-10-18,2021-10-16,Non,,2022-02-23,-72.147132,45.6624
"8",Inondation,"29073",Saint-Georges,Précise,,Menace faible ou non-existante à la vie ou la propriété,2022-02-24,2022-02-24,Non,,2022-06-03,-70.708985,46.13789
"138",Orage violent,"75028",Sainte-Sophie,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-24,2022-05-21,Non,,2022-06-08,-73.894423,45.819974
"101",Mouvement de terrain,"75028",Sainte-Sophie,Très précise,Érosion fluviale,Menace faible ou non-existante à la vie ou la propriété,2020-04-15,2020-04-14,Non,,2021-03-25,-73.957541,45.815022
"101",Mouvement de terrain,"75028",Sainte-Sophie,Très précise,Érosion en sommet de talus,Menace faible ou non-existante à la vie ou la propriété,2022-04-27,,Oui,depuis 5 ans,2022-07-27,-73.875371,45.82695
"88",Incendie industriel,"75028",Sainte-Sophie,Très précise,feu de débris dans la cour extérieure de l’entreprise AIM recyclage,Menace possible à la vie ou à la propriété,2022-05-10,2022-05-09,Non,,2022-05-10,-73.891669,45.816599
"9",Érosion,"75028",Sainte-Sophie,Très précise,érosion,Menace faible ou non-existante à la vie ou la propriété,2021-04-15,2020-12-25,Non,,2021-12-07,-73.98046,45.829965
"9",Érosion,"75028",Sainte-Sophie,Très précise,érosion fluviale,Menace faible ou non-existante à la vie ou la propriété,2021-04-15,2021-04-01,Oui,"au cours de chaque printemps, l'érosion s'accentue",2021-12-07,-73.961065,45.825707
"9",Érosion,"75028",Sainte-Sophie,Très précise,érosion fluviale,Menace faible ou non-existante à la vie ou la propriété,2021-12-02,,Oui,n'est pas relié à un évènement météorologique,2022-03-17,-73.907272,45.817552
"9",Érosion,"75028",Sainte-Sophie,Très précise,Érosion fluviale,Menace faible ou non-existante à la vie ou la propriété,2021-11-18,,Oui,non relié à un événement météorologique,2022-04-26,-73.962175,45.818288
"0",Autre,"75028",Sainte-Sophie,Précise,,Menace faible ou non-existante à la vie ou la propriété,2021-12-06,,Oui,à l'automne 2021,2022-07-27,-73.877153,45.827791
"39",Feu de forêt,"14060",Saint-Philippe-de-Néri,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2020-06-19,2020-06-19,Non,,2020-10-29,-69.885463,47.463083
"138",Orage violent,"78020",Sainte-Lucie-des-Laurentides,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-25,2022-05-21,Non,,2022-06-08,-74.181334,46.125465
"25",Panne d'électricité,"78020",Sainte-Lucie-des-Laurentides,Imprécise,,Menace possible à la vie ou à la propriété,2021-11-18,,,,2021-12-06,-74.181334,46.125465
"25",Panne d'électricité,"80015",Notre-Dame-de-Bonsecours,Imprécise,,Menace possible à la vie ou à la propriété,2022-05-21,2022-05-21,Non,,,-74.857058,45.754909
